duration,spectral_centroid_mean,spectral_rolloff_mean,tempo,mfcc1,mfcc2,mfcc3,loudness_mean,key,mode,time_signature,chroma_mean,filename,genre
218.93179,4.161966357706831,0.3652520597322348,92.198,41.51277754891865,15.662936148300721,-5.789681771369723,-13.578341915550977,1,0,4,"[0.47118125643666336, 0.6259134912461382, 0.3579454170957773, 0.2847394438722968, 0.36794129763130773, 0.306884654994851, 0.3503501544799174, 0.2986663233779604, 0.3446117404737383, 0.34393717816683805, 0.30667971163748736, 0.324174047373841]",TRAAAAW128F429D538.h5,Rap
148.03546,7.505631212121213,0.2962586363636363,121.274,43.07103636363636,-4.03539090909091,23.572292727272725,-12.450609090909092,6,0,4,"[0.20774727272727292, 0.4084090909090908, 0.30999636363636424, 0.1732181818181818, 0.4429999999999999, 0.2067163636363636, 0.2977363636363638, 0.15629090909090895, 0.27793090909090895, 0.5642909090909091, 0.21837272727272716, 0.29139454545454563]",TRAAABD128F429CF47.h5,Pop_Rock
177.47546,2.0853174673784105,0.30958170225385534,100.07,45.13081494661921,-76.82332562277581,50.78732918149467,-11.091419928825623,8,1,1,"[0.40731316725978645, 0.29959430604982223, 0.2564288256227759, 0.42721174377224186, 0.2620320284697512, 0.24045373665480435, 0.16948932384341658, 0.2973594306049824, 0.2739875444839862, 0.43011209964412844, 0.4536067615658365, 0.19739145907473313]",TRAAADZ128F9348C2E.h5,Latin
233.40363,10.639869671132764,0.36771660576532683,119.293,45.80025578562728,41.14898660170524,57.59929476248478,-11.114934226552984,0,1,4,"[0.49709257003654095, 0.3155992691839218, 0.39612423873325203, 0.29246041412911095, 0.39964920828258177, 0.4191437271619976, 0.3233154689403164, 0.4224129110840435, 0.28244701583434817, 0.39729963459196127, 0.2531766138855055, 0.413878197320341]",TRAAAEF128F4273421.h5,Pop_Rock
209.60608,6.465444279346211,0.401212852897474,129.738,50.25155423476969,27.84558395245171,47.09130312035661,-6.513164933135215,2,1,4,"[0.40917384843982146, 0.39386924219910885, 0.3685438335809808, 0.2600594353640411, 0.39692273402674594, 0.42393907875185766, 0.38254829123328404, 0.4811158989598814, 0.45432243684992546, 0.6269004457652305, 0.33830014858841045, 0.27885884101040154]",TRAAAFD128F92F423A.h5,Pop_Rock
114.78159,5.20291042966043,0.3623466735966736,111.787,30.791465696465696,6.381634095634097,14.74064449064449,-23.67464864864865,1,1,1,"[0.4216694386694384, 0.34606029106029124, 0.3426964656964652, 0.3462328482328485, 0.31121205821205833, 0.3165363825363825, 0.3617692307692304, 0.34552806652806656, 0.40733056133056117, 0.4026507276507278, 0.39811642411642395, 0.3483575883575889]",TRAAAMQ128F1460CD3.h5,Rap
269.81832,2.9526112024853797,0.4056906067251462,86.643,40.64354495614035,6.281907894736842,34.655208333333334,-16.50077960526316,4,1,4,"[0.40832346491228055, 0.40485526315789433, 0.2812499999999999, 0.3583399122807018, 0.5922258771929825, 0.26285087719298256, 0.3600756578947367, 0.3008037280701754, 0.4621710526315793, 0.5515076754385964, 0.3832872807017544, 0.5025964912280702]",TRAAARJ128F9320760.h5,Pop_Rock
218.77506,2.727653552694325,0.30782343824511205,146.765,45.28118597997138,41.84346638054363,13.441207439198855,-11.88678111587983,5,0,1,"[0.2553805436337625, 0.29506723891273223, 0.27119885550786893, 0.22129184549356215, 0.20547210300429183, 0.31131187410586514, 0.29835193133047233, 0.686, 0.5047010014306152, 0.17505007153075833, 0.22877396280400578, 0.24128183118741073]",TRAAAVO128F93133D4.h5,Pop_Rock
226.35057,0.870059818056986,0.3237565224854102,130.04,47.04520288362513,-5.38096395468589,-25.399665293511845,-7.61751184346035,9,1,4,"[0.3400319258496394, 0.46235324407827005, 0.33536766220391423, 0.2280731204943359, 0.4077312049433571, 0.23153450051493285, 0.3489618949536559, 0.1728135942327496, 0.24020700308959841, 0.46410813594232747, 0.22641812564366645, 0.4274778578784759]",TRAABDL12903CAABBA.h5,Latin
307.3824,11.853899263091877,0.3010674192536846,125.197,45.74714769520225,44.7006839134525,22.545369708372533,-10.419097836312323,3,1,3,"[0.3001571025399806, 0.38698871119473194, 0.42437817497648217, 0.47465945437441176, 0.20698306679209763, 0.3704675446848539, 0.21463969896519275, 0.23220413922859814, 0.41486923800564485, 0.16466039510818437, 0.26030479774223897, 0.16249670743179706]",TRAABJV128F1460C49.h5,RnB
491.12771,-0.7293111691236691,0.3237161138411138,119.826,42.3850515970516,-59.656181818181814,0.4323445945945968,-12.976754914004914,7,1,4,"[0.42500491400491425, 0.275353194103194, 0.5842942260442264, 0.24323525798525755, 0.2714883292383292, 0.1919508599508601, 0.27350982800982804, 0.34512837837837884, 0.24671253071253021, 0.5423366093366092, 0.2010835380835382, 0.2844957002457]",TRAABLR128F423B7E3.h5,Pop_Rock
228.5971,5.019110112755461,0.365783386187456,127.756,35.481005285412266,-4.825313953488372,16.11097357293869,-19.75109513742072,8,1,5,"[0.38441649048625787, 0.47091966173361544, 0.3212071881606764, 0.21011310782241013, 0.2864503171247355, 0.37935306553911213, 0.4225221987315008, 0.5333002114164904, 0.4730264270613105, 0.3759365750528538, 0.3260243128964065, 0.20613107822410157]",TRAABNV128F425CEE1.h5,New Age
