filename,genre,duration,spectral_centroid_mean,spectral_rolloff_mean,tempo,mfcc1,mfcc2,mfcc3,loudness_mean,key,mode,time_signature,chroma_mean
TRBHSPA12903CBC3F5.h5,blues,359.52281,0.004184182599331562,1.5242443415240771e-05,0.6168852026949118,0.968653588800845,0.45660807565658257,0.3489463717820154,0.5511156222732595,2.0,1.0,3.0,"[0.30019778481012627, 0.4515846518987341, 0.7528773734177221, 0.24894778481012694, 0.22486155063291186, 0.1928124999999999, 0.1564113924050631, 0.16784493670886078, 0.1899137658227846, 0.37979113924050617, 0.20455617088607603, 0.2027231012658228]"
blues.00056.h5,blues,30.01333333333333,0.4120588111770074,0.4526413653893357,0.5827129632497078,0.6700369343581692,0.7950205811639246,0.4030980683176921,0.9939313341076016,4.0,1.0,4.0,"[0.31312644481658936, 0.3387906849384308, 0.4292452037334442, 0.41148802638053894, 0.7104670405387878, 0.3274487853050232, 0.3979811370372772, 0.46292948722839355, 0.37593814730644226, 0.4218478202819824, 0.29563456773757935, 0.43005022406578064]"
blues.00057.h5,blues,30.01333333333333,0.4289540342116315,0.44114750001196673,0.29768048268733427,0.7565925803401032,0.8233572200792809,0.3284043646347965,0.9948221896209225,4.0,1.0,4.0,"[0.4248944818973541, 0.48025643825531006, 0.5091590285301208, 0.612873375415802, 0.6854082942008972, 0.5417796969413757, 0.6451157331466675, 0.5075894594192505, 0.5082784295082092, 0.4429543614387512, 0.42607447504997253, 0.6206713318824768]"
TRBFNLX128F4249752.h5,blues,170.68363,0.009615374204832983,2.9834068573156613e-05,0.3453432058905892,0.9901183729596564,0.6368996377595046,0.7491977344774817,0.8050713201393134,3.0,1.0,1.0,"[0.36415984405458046, 0.3692592592592594, 0.3556666666666667, 0.6494834307992209, 0.44017543859649105, 0.44353996101364546, 0.5573645224171538, 0.5128635477582849, 0.3193099415204678, 0.2720682261208576, 0.423664717348928, 0.28440545808966883]"
TRALQTL128F9348297.h5,blues,281.80853,0.00801055616235005,2.0756356102025162e-05,0.20697777850989182,0.9670175267956976,0.5992036120018323,0.5688764482989044,0.5112639733670539,1.0,1.0,4.0,"[0.3192480533926587, 0.5191468298109009, 0.23032814238042276, 0.32609232480533973, 0.26091879866518314, 0.3687630700778651, 0.3627163515016688, 0.3010444938820916, 0.48673526140155726, 0.2357897664071184, 0.4418509454949943, 0.19405672969966647]"
TRAUSMF12903CE71E5.h5,blues,185.41669,0.005663049852305651,1.655487681110564e-05,0.5868186535325417,0.9638164715014053,0.6067329214102896,0.417856340676947,0.44348882278567425,10.0,0.0,4.0,"[0.2745721077654516, 0.34900316957210764, 0.46425039619651376, 0.5893629160063393, 0.16249445324881126, 0.17934706814580037, 0.2190063391442155, 0.16746909667194926, 0.18052773375594308, 0.32904120443740065, 0.48545958795562605, 0.20865293185419978]"
blues.00058.h5,blues,30.01333333333333,0.46959047451714103,0.4876545695878195,0.36102103390053863,0.7521341176269889,0.8004357659082155,0.35534222130291354,0.9944951222413666,1.0,1.0,3.0,"[0.5179601907730103, 0.7314467430114746, 0.6039757132530212, 0.7068792581558228, 0.5318820476531982, 0.5846216678619385, 0.6425805687904358, 0.5520292520523071, 0.6479965448379517, 0.4437095820903778, 0.3797817826271057, 0.5151004791259766]"
blues.00059.h5,blues,30.01333333333333,0.5070601917436248,0.5058213636539698,0.36102103390053863,0.7672386312989321,0.770275007176447,0.367085816755207,0.9946821075567099,7.0,1.0,4.0,"[0.5890955328941345, 0.5966587066650391, 0.7066432237625122, 0.5474774241447449, 0.5949246883392334, 0.6324522495269775, 0.5899004340171814, 0.7888910174369812, 0.6003840565681458, 0.5772193670272827, 0.5160182118415833, 0.4781029224395752]"
TRALKRO128F931CF20.h5,blues,177.68444,0.004523269535840395,1.3975874391064268e-05,0.3077116312781064,0.9675955818291275,0.17753633671226005,0.6469337356762213,0.5060600249685303,7.0,1.0,3.0,"[0.33151639344262285, 0.2446967213114755, 0.3892807377049182, 0.14157581967213126, 0.27575614754098354, 0.20586065573770518, 0.2717971311475411, 0.34391598360655723, 0.27279918032786904, 0.5345594262295086, 0.13931147540983604, 0.18956352459016412]"
TRALKHT128F148833B.h5,blues,214.69995,0.007399926493420288,1.557951079178597e-05,0.360164396198132,0.9868385107834274,0.5098940138498961,0.6532091715959749,0.75340518421678,2.0,0.0,4.0,"[0.26876595744680915, 0.25539007092198607, 0.38052482269503557, 0.22266808510638314, 0.39417872340425536, 0.22006524822695045, 0.18024680851063835, 0.34077163120567366, 0.2579163120567375, 0.6120156028368795, 0.20864113475177315, 0.1664368794326242]"
blues.00060.h5,blues,30.01333333333333,0.4422827841951277,0.45583677127568056,0.543590858055908,0.7977174874391582,0.8151508119502179,0.3298051349077412,0.9952950062413026,9.0,1.0,4.0,"[0.4779232442378998, 0.5611375570297241, 0.6497787833213806, 0.6258527040481567, 0.773198664188385, 0.5732014775276184, 0.6086012125015259, 0.5997740030288696, 0.5865902304649353, 0.7751069068908691, 0.4288167655467987, 0.41995468735694885]"
blues.00061.h5,blues,30.01333333333333,0.5671867220514373,0.5850952574943924,0.44969780564844264,0.7733956182636207,0.7752862112589463,0.3548139966612437,0.9940225682280253,10.0,1.0,3.0,"[0.5099843740463257, 0.4362396001815796, 0.6457804441452026, 0.5361998677253723, 0.5948914289474487, 0.5636380314826965, 0.49466973543167114, 0.6565675139427185, 0.5839301347732544, 0.6777136921882629, 0.7062004804611206, 0.6667038798332214]"
blues.00062.h5,blues,30.01333333333333,0.517048622690327,0.5454088921347977,0.38029859299586544,0.6706446617684105,0.7788496543930266,0.37305916830947283,0.9931954195483202,5.0,1.0,3.0,"[0.5550985336303711, 0.3300560712814331, 0.4194924533367157, 0.33816760778427124, 0.3344312906265259, 0.6266030073165894, 0.3392315208911896, 0.42639854550361633, 0.4405227303504944, 0.3641315996646881, 0.41347816586494446, 0.3499755859375]"
TRAUYOD128F42647FE.h5,blues,262.29506,0.006796546899077641,2.393645936638784e-05,0.5039451793038696,0.9751089679505404,0.5927748112563397,0.39621457954162986,0.6503897207405376,9.0,1.0,4.0,"[0.3836098450319047, 0.2958268003646308, 0.3245706472196898, 0.2801248860528717, 0.6618295350957161, 0.38691431175934327, 0.21198906107566123, 0.2585423883318141, 0.33954785779398344, 0.3802288058340931, 0.3150665451230624, 0.5395870556061988]"
TRAUYRJ12903CE6C00.h5,blues,186.30485,0.0067759743371667205,2.2507318386382837e-05,0.7117424679196799,0.9810927856392422,0.488342861695723,0.43116565419957603,0.7195811564902124,7.0,1.0,1.0,"[0.5452146829810907, 0.4906807563959956, 0.4215450500556177, 0.2594649610678533, 0.29242714126807556, 0.24242936596217993, 0.2966807563959957, 0.3717886540600669, 0.21266852057842014, 0.24582424916573958, 0.3452224694104561, 0.5050734149054501]"
blues.00063.h5,blues,30.01333333333333,0.6424552113997913,0.6581702558315755,0.29768048268733427,0.6966082068357643,0.7251533825236671,0.4190204862825227,0.9929619917696635,0.0,1.0,3.0,"[0.6782046556472778, 0.36889687180519104, 0.4812975525856018, 0.39982107281684875, 0.30724194645881653, 0.570180356502533, 0.4070121943950653, 0.40704190731048584, 0.3996383845806122, 0.379970520734787, 0.39143311977386475, 0.3753924071788788]"
blues.00064.h5,blues,30.01333333333333,0.578259884705801,0.5932680118289266,0.24009816339137172,0.7690999111529078,0.7631156645054074,0.39062285508013384,0.9934555349715459,0.0,1.0,3.0,"[0.7731950879096985, 0.576690673828125, 0.6123237013816833, 0.5594215989112854, 0.464711993932724, 0.7353276014328003, 0.5360285043716431, 0.5032191872596741, 0.47106999158859253, 0.5498107671737671, 0.49955013394355774, 0.461904376745224]"
blues.00065.h5,blues,30.01333333333333,0.6371847026066572,0.6469066899775466,0.36102103390053863,0.7143954525728922,0.7314630244735527,0.37886967256404563,0.9930570032297334,0.0,1.0,4.0,"[0.7358202934265137, 0.3380093276500702, 0.38345304131507874, 0.3927743136882782, 0.41686803102493286, 0.3972245752811432, 0.39916151762008667, 0.6129906177520752, 0.33834412693977356, 0.3430519998073578, 0.3901153802871704, 0.36559346318244934]"
TRBFPRF128F92FB507.h5,blues,154.30485,0.00823837122356378,1.2667415526073225e-05,0.6551180259278173,0.9806883418860699,0.5554920526506401,0.6127692717780914,0.6934766756979747,9.0,1.0,1.0,"[0.21839157566302653, 0.2801575663026524, 0.26301248049922, 0.1523104524180967, 0.6512246489859596, 0.1316536661466458, 0.18050390015600645, 0.13972386895475822, 0.19460062402496106, 0.6429641185647424, 0.2046879875195007, 0.14515132605304193]"
blues.00066.h5,blues,30.01333333333333,0.5306214017305104,0.5730361987034928,0.5827129632497078,0.7172849861915237,0.7827075179500322,0.3987022800614801,0.993293641817118,11.0,1.0,4.0,"[0.4549368917942047, 0.40676385164260864, 0.6332623958587646, 0.40968289971351624, 0.48682668805122375, 0.4251526892185211, 0.4058527648448944, 0.5550017356872559, 0.41389790177345276, 0.4882386326789856, 0.5196111798286438, 0.6441624760627747]"
blues.00067.h5,blues,30.01333333333333,0.512110836174138,0.547901884474955,0.5827129632497078,0.7520962736146123,0.7916960513244523,0.3761754155111332,0.9937279182284824,7.0,1.0,4.0,"[0.5500354766845703, 0.4623759686946869, 0.6488447785377502, 0.36909183859825134, 0.5071271657943726, 0.37788423895835876, 0.38684800267219543, 0.8015233278274536, 0.5054082870483398, 0.4343005418777466, 0.3591354191303253, 0.44518914818763733]"
